校名,學系名稱,學科能力測驗及英語聽力測驗檢定標準,採計科目及加權(含學測、分科及術科)
國立中興大學,森林學系木材科學組,---,英　文(學測) x 1.50、化　學(分科) x 1.50、物　理(分科) x 1.25、生　物(分科) x 1.00、數學 B(學測) x 1.00
國立中興大學,土壤環境科學系,數學 A (均標)或 數學 B (均標),英　文(學測) x 2.00、化　學(分科) x 2.00、生　物(分科) x 2.00、物　理(分科) x 1.00
國立中興大學,生物產業機電工程學系,---,數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立中興大學,食品暨應用生物科技學系,數學 A (均標)或 數學 B (均標),英　文(學測) x 1.50、化　學(分科) x 1.50、生　物(分科) x 1.50、國　文(學測) x 1.00
國立中興大學,獸醫學系,英　聽 (B級),英　文(學測) x 1.50、化　學(分科) x 1.25、生　物(分科) x 1.50、數學 A(學測) x 1.00
國立中興大學,國際農企業學士學位學程,數學 A (均標)或 數學 B (均標),英　文(學測) x 2.00、生　物(分科) x 1.50、國　文(學測) x 1.00
國立中興大學,資訊管理學系,---,數學甲(分科) x 2.00、英　文(學測) x 2.00、國　文(學測) x 1.00
國立中興大學,生物科技學士學位學程,---,英　文(學測) x 1.50、化　學(分科) x 1.50、生　物(分科) x 1.50、國　文(學測) x 1.00
國立中興大學,景觀與遊憩學士學位學程,數學 A (均標)或 數學 B (均標),英　文(學測) x 1.50、國　文(學測) x 1.00、物　理(分科) x 1.00
國立中興大學,會計學系,---,數學 A(學測) x 2.00、英　文(學測) x 2.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
國立中興大學,物理學系光電物理組,---,物　理(分科) x 1.50、數學甲(分科) x 1.50、英　文(學測) x 1.50、化　學(分科) x 1.00、國　文(學測) x 1.00
國立中興大學,應用數學系數據科學與計算組,---,數學甲(分科) x 2.00、英　文(學測) x 1.50、物　理(分科) x 1.50、國　文(學測) x 1.00、化　學(分科) x 1.00
國立中興大學,電機工程學系乙組,---,數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.25、化　學(分科) x 1.00、國　文(學測) x 1.00
國立中興大學,智慧創意工程學士學位學程,---,數學甲(分科) x 1.50、英　文(學測) x 1.00、物　理(分科) x 1.00、國　文(學測) x 1.00、化　學(分科) x 1.00
國立中興大學,台灣人文創新學士學位學程,---,國　文(學測) x 2.00、歷　史(分科) x 1.50、英　文(學測) x 1.00、地　理(分科) x 1.50
國立中興大學,電機資訊學院學士班,---,數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立中興大學,機械工程學系乙組,---,數學 A(學測) x 2.00、物　理(分科) x 2.00、英　文(學測) x 1.50、化　學(分科) x 1.00、國　文(學測) x 1.00
國立成功大學,數學系,---,數學甲(分科) x 2.00、物　理(分科) x 1.50、英　文(學測) x 1.50、化　學(分科) x 1.00
國立成功大學,化學系,---,化　學(分科) x 1.50、物　理(分科) x 1.25、數學甲(分科) x 1.25、英　文(學測) x 1.00、國　文(學測) x 1.00
國立成功大學,地球科學系,---,數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立成功大學,土木工程學系,---,數學 A(學測) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
